character,position,baxter,emc
㢡,精開三陽上,tsjangX,tsjɑŋʔ
㢥,定一東去,duwngH,d̙uŋh
㢨,匣開一寒去,hanH,ʁɑnh
㢰,並三B支去,bjeH,bɨ̯ieh
㢵,曉開三C嚴入,xjaep,xɨ̯əp
㢸,並三B真入,bit,bɨ̯it
㢻,孃合三支去,nrjweH,ɳjwieh
㢼,幫四先入,pet,p̙et
㢾,見合四先去,kwenH,qwenh
㣁,並三B脂去,bijH,bɨ̯ih
㣂,疑開二耕入,ngeak,ɴeˤk
㣅,從開一覃上,dzomX,d̙z̙əmʔ
㣇,以開三脂去,yijH,jih
㣇,定開四齊去,dejH,d̙ejh
㣈,心開三脂去,sijH,sih
㣌,生開二銜去,sraemH,ʂaˤmh
㣎,明三C東入,mjuwk,mɨ̯uk
㣑,以三鍾平,yowng,joŋ
㣙,定開四青入,dek,d̙ek
㣝,心三東平,sjuwng,sjuŋ
㣟,曉開三A真入,xjit,xjit
㣤,從開三仙上,dzjenX,dzjenʔ
㣫,章三鍾上,tsyowngX,tɕoŋʔ
㣭,精一東平,tsuwng,t̙s̙uŋ
㣱,崇開二耕入,dzreak,dʐeˤk
㣶,知開二山平,trean,ʈeˤn
㣻,疑開三C廢去,ngjojH,ŋɨ̯əjh
㣿,章開三陽入,tsyak,tɕɑk
㣿,端開四青入,tek,t̙ek
㣿,端開四蕭上,tewX,t̙ewʔ
㤄,滂一泰去,phajH,p̙ʰɑjh
㤄,滂三C元入,phjot,pʰɨ̯ət
㤄,滂三C廢去,phjojH,pʰɨ̯əjh
㤄,幫一寒入,pat,p̙ɑt
㤅,影開一咍去,'ojH,ʔ̙əjh
㤆,滂三C元去,phjonH,pʰɨ̯ənh
㤇,影開一豪上,'awX,ʔ̙əwʔ
㤉,溪開二麻平,khae,qʰaˤ
㤊,匣開二肴去,haewH,ʁaˤwh
㤊,匣開二肴平,haew,ʁaˤw
㤍,溪開二肴平,khaew,qʰaˤw
㤎,見開一歌平,ka,qɑ
㤏,定一冬平,downg,d̙oŋ
㤒,見開一豪平,kaw,qəw
㤕,知合三真入,trwit,ʈjwit
㤕,徹合三真入,trhwit,ʈʰjwit
㤝,昌三東平,tsyhuwng,tɕʰuŋ
㤞,定開一唐入,dak,d̙ɑk
㤠,來開三仙入,ljet,ljet
㤥,匣開一咍去,hojH,ʁəjh
