character,position,baxter,emc,lmc,nw,nw_late
㒌,羣合三A清平,gjwieng,ɡjwaŋ,ɡjwɛŋ,ɡ̊ɦjwɛĩ,kʰjwɛĩ
㒓,透開一寒入,that,t̙ʰɑt,tʰɑt,tʰɑr,tʰɑr
㒔,定一東入,duwk,d̙uk,duk,d̥ɦuɣ,tʰuɣ
㒔,常三鍾入,dzyowk,dʑok,ʑuk,ʑ̊ɦuɣ,ɕuɣ
㒚,影合一魂上,'wonX,ʔ̙wənʔ,ʔwənX,ʔwənX,ʔwənX
㒚,影開三C殷去,'j+nH,ʔɨnh,ʔɨnH,ʔɨnH,ʔɨnH
㒝,明三C元入,mjot,mɨ̯ət,ɱʕat,ʋʕar,ʋʕar
㒝,明四先入,met,m̙et,mjɛt,mbjɛr,mbjɛr
㒟,泥開四蕭上,newX,n̙ewʔ,njɛwX,ndjɛwX,ndjɛwX
㒠,匣開二皆去,heajH,ʁeˤjh,ʁʕajH,ʁ̥ɦʕajH,χʕajH
㒥,滂三C東平,phjuwng,pʰɨ̯uŋ,pfʰuŋ,fuŋ,fuŋ
㒰,從合三仙平,dzjwen,dzjwen,dzjwɛn,d̥z̥ɦjwɛn,tsʰjwɛn
㒳,來開三陽上,ljangX,ljɑŋʔ,lɨɑŋX,lɨɔũX,lɨɔũX
㒴,見合一魂入,kwot,qwət,qwət,qwər,qwər
㒸,邪合三脂去,zwijH,zjwih,zjwiH,z̥ɦuH,suH
㒹,端開四先平,ten,t̙en,tjɛn,tjɛn,tjɛn
㒼,明一寒平,man,m̙ɑn,mɑn,mbɑn,mbɑn
㒽,溪合三B仙平,khjwen,kʰwɨ̯en,kʰwɨɛn,kʰwɨɛn,kʰwɨɛn
㒾,以開三支去,yeH,jieh,jiH,jiH,jiH
㒾,書開三支去,syeH,ɕieh,ɕiH,ɕiH,ɕiH
㓃,知開二麻去,traeH,ʈaˤh,ʈʕaH,ʈʕaH,ʈʕaH
㓃,端一模去,tuH,t̙oh,tuH,tuH,tuH
㓄,知開三侵去,trimH,ʈimh,ʈɨimH,ʈɨimH,ʈɨimH
㓊,定一東去,duwngH,d̙uŋh,duŋH,d̥ɦuŋH,tʰuŋH
㓖,幫三A真入,pjit,pjit,pjit,pjir,pjir
㓚,見一東平,kuwng,quŋ,quŋ,quŋ,quŋ
㓝,匣開四青平,heng,ʁeŋ,ɣjɛŋ,ɣ̊ɦjɛĩ,xjɛĩ
㓞,溪開二山入,kheat,qʰeˤt,qʰʕat,qʰʕar,qʰʕar
㓠,端開四添上,temX,t̙emʔ,tjɛmX,tjɛmX,tjɛmX
㓢,來開一唐入,lak,l̙ɑk,lɑk,lɑɣ,lɔɣ
㓣,溪開二咸入,kheap,qʰeˤp,qʰʕap,qʰʕaβ,qʰʕaβ
㓤,溪開二山入,kheat,qʰeˤt,qʰʕat,qʰʕar,qʰʕar
㓱,定一侯平,duw,d̙u,dəw,d̥ɦəw,tʰəw
㓳,端開四齊平,tej,t̙ej,tjɛj,tjɛj,tji
㓷,疑開三B祭去,ngjejH,ŋɨ̯ejh,ŋɨɛjH,ŋɡɨɛjH,ŋɡɨiH
㓹,清合三祭去,tshjwejH,tsʰjwejh,tsʰjwɛjH,tsʰjwɛjH,tsʰjwiH
㓺,見開三C元平,kjon,kɨ̯ən,kɨɛn,kɨɛn,kɨɛn
㓻,見開一唐平,kang,qɑŋ,qɑŋ,qɔũ,qɔũ
㓼,初開三臻入,tsrhit,tʂʰɨ̯it,tʂʰʕət,tʂʰʕər,tʂʰʕər
㓽,崇三東去,dzrjuwngH,dʐɨ̯uŋh,ʐʕuŋH,ʐ̥ɦʕuŋH,ʂʕuŋH
㓽,崇三東平,dzrjuwng,dʐɨ̯uŋ,ʐʕuŋ,ʐ̥ɦʕuŋ,ʂʕuŋ
㔄,心三鍾入,sjowk,sjok,sjuk,sjuɣ,sjuɣ
㔆,從開一覃上,dzomX,d̙z̙əmʔ,dzɑmH,d̥z̥ɦɑmH,tsʰɑmH
㔊,章開三仙上,tsyenX,tɕenʔ,tɕɛnX,tɕɛnX,tɕɛnX
㔋,匣開二銜上,haemX,ʁaˤmʔ,ʁʕamH,ʁ̥ɦʕamH,χʕamH
㔋,見開二銜去,kaemH,qaˤmh,qʕamH,qʕamH,qʕamH
㔋,見開二銜平,kaem,qaˤm,qʕam,qʕam,qʕam
㔋,來開一談去,lamH,l̙ɑmh,lɑmH,lɑmH,lɑmH
㔌,從一侯去,dzuwH,d̙z̙uh,dzəwH,d̥z̥ɦəwH,tsʰəwH
㔌,從一侯平,dzuw,d̙z̙u,dzəw,d̥z̥ɦəw,tsʰəw
㔍,初合二刪入,tsrhwaet,tʂʰwaˤt,tʂʰwʕat,tʂʰwʕar,tʂʰwʕar
㔍,初合三仙入,tsrhjwet,tʂʰwɨ̯et,tʂʰwʕat,tʂʰwʕar,tʂʰwʕar
